日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210630,6201,豊田自動織機,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機 ,4,TOPIX Mid400
20210630,6203,豊和工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6205,ＯＫＫ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6208,石川製作所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6210,東洋機械金属,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6217,津田駒工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6218,エンシュウ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6222,島精機製作所,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6228,ジェイ・イー・ティ,PRO Market,3600,機械,8,機械 ,-,-
20210630,6229,オーケーエム,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6230,ＳＡＮＥＩ,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6231,木村工機,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6232,ＡＣＳＬ,マザーズ（内国株）,3600,機械,8,機械 ,-,-
20210630,6233,極東産機,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6235,オプトラン,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6236,ＮＣホールディングス,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6237,イワキポンプ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6238,フリュー,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6239,ナガオカ,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6240,ヤマシンフィルタ,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6245,ヒラノテクシード,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6246,テクノスマート,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6247,日阪製作所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6248,横田製作所,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6249,ゲームカード・ジョイコホールディングス,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6250,やまびこ,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6254,野村マイクロ・サイエンス,市場第一部（内国株）,3600,機械,8,機械 ,-,-
20210630,6255,エヌ・ピー・シー,マザーズ（内国株）,3600,機械,8,機械 ,-,-
20210630,6257,藤商事,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6258,平田機工,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6262,ペガサスミシン製造,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6264,マルマエ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6265,妙徳,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6266,タツモ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6267,ゼネラルパッカー,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6268,ナブテスコ,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6269,三井海洋開発,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6271,ニッセイ,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6272,レオン自動機,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6273,ＳＭＣ,市場第一部（内国株）,3600,機械,8,機械 ,2,TOPIX Large70
20210630,6276,シリウスビジョン,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6277,ホソカワミクロン,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6278,ユニオンツール,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6279,瑞光,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6281,前田製作所,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6282,オイレス工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6284,日精エー・エス・ビー機械,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6286,靜甲,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6287,サトーホールディングス,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6289,技研製作所,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6291,日本エアーテック,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6292,カワタ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6293,日精樹脂工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6294,オカダアイヨン,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
